id,tt
256,240.0
258,240.0
259,240.0
261,240.0
6,120.0
7,110.0
8,120.0
300,450.0
349,180.0
271,240.0
16,130.0
344,200.0
18,150.0
275,470.0
22,160.0
24,170.0
283,460.0
29,200.0
30,200.0
31,210.0
32,210.0
35,440.0
37,440.0
38,410.0
40,410.0
324,380.0
43,410.0
78,230.0
307,460.0
47,400.0
304,470.0
50,390.0
51,380.0
53,380.0
57,370.0
62,340.0
64,340.0
321,380.0
322,380.0
67,340.0
68,320.0
325,350.0
70,220.0
71,220.0
72,220.0
74,220.0
75,220.0
77,220.0
total_travel_time,47700.0
369,160.0
80,220.0
338,230.0
339,230.0
340,210.0
313,430.0
88,230.0
345,190.0
346,180.0
347,190.0
93,470.0
95,470.0
97,480.0
98,480.0
356,150.0
101,470.0
102,490.0
105,510.0
362,150.0
107,510.0
108,510.0
109,510.0
353,170.0
113,500.0
114,480.0
115,480.0
117,450.0
118,280.0
119,300.0
120,300.0
124,280.0
320,390.0
131,280.0
357,140.0
278,470.0
fastest_travel_time,110.0
364,190.0
140,240.0
141,240.0
144,240.0
146,250.0
147,250.0
148,500.0
149,500.0
152,530.0
153,550.0
154,580.0
367,180.0
156,670.0
160,640.0
163,640.0
164,600.0
166,590.0
167,580.0
170,580.0
176,550.0
186,470.0
287,470.0
188,290.0
189,300.0
354,160.0
195,270.0
197,260.0
200,230.0
201,230.0
202,240.0
203,240.0
333,230.0
209,490.0
211,490.0
213,490.0
331,350.0
219,500.0
361,140.0
221,500.0
223,610.0
263,240.0
226,610.0
227,580.0
230,580.0
231,580.0
233,580.0
237,560.0
272,250.0
239,550.0
246,300.0
250,260.0
252,240.0
254,240.0
