id,tt
256,690.0
258,700.0
259,690.0
261,690.0
6,340.0
7,340.0
8,350.0
300,960.0
271,670.0
16,350.0
344,450.0
18,360.0
275,1110.0
22,360.0
24,370.0
283,1040.0
29,380.0
30,410.0
31,420.0
32,420.0
35,890.0
37,880.0
38,850.0
40,830.0
324,710.0
43,830.0
78,590.0
307,880.0
47,810.0
304,900.0
50,790.0
51,790.0
53,770.0
57,760.0
62,740.0
64,740.0
321,720.0
322,710.0
67,700.0
68,680.0
325,670.0
70,590.0
71,580.0
72,580.0
74,580.0
75,570.0
77,580.0
total_travel_time,98080.0
80,580.0
338,490.0
339,480.0
340,460.0
313,830.0
88,560.0
345,440.0
93,1030.0
95,1030.0
97,1000.0
98,990.0
101,970.0
102,960.0
105,970.0
107,960.0
108,960.0
109,960.0
113,950.0
114,930.0
115,920.0
117,890.0
118,730.0
119,740.0
120,740.0
124,730.0
320,750.0
131,710.0
278,1090.0
fastest_travel_time,340.0
140,680.0
141,680.0
144,670.0
146,680.0
147,670.0
148,1170.0
149,1160.0
152,1160.0
153,1130.0
154,1130.0
156,1130.0
160,1100.0
163,1090.0
164,1060.0
166,1040.0
167,1030.0
170,1020.0
176,1000.0
186,910.0
287,1030.0
188,730.0
189,730.0
195,710.0
197,700.0
200,650.0
201,640.0
202,660.0
203,650.0
333,520.0
209,1160.0
211,1150.0
213,1150.0
331,640.0
219,1120.0
221,1110.0
223,1080.0
263,690.0
226,1070.0
227,1060.0
230,1040.0
231,1040.0
233,1040.0
237,1020.0
272,660.0
239,1000.0
246,750.0
250,710.0
252,700.0
254,690.0
