id,tt
257,370.0
260,360.0
342,270.0
262,350.0
264,350.0
9,190.0
10,210.0
11,210.0
268,350.0
13,220.0
15,210.0
273,330.0
19,210.0
20,220.0
21,220.0
23,210.0
26,200.0
27,220.0
284,270.0
285,270.0
33,460.0
291,260.0
292,260.0
293,240.0
39,450.0
41,430.0
42,420.0
135,400.0
45,420.0
46,410.0
48,410.0
306,450.0
308,450.0
317,400.0
310,440.0
55,390.0
56,390.0
348,220.0
58,390.0
315,410.0
60,390.0
61,370.0
63,380.0
267,360.0
69,380.0
326,340.0
327,340.0
73,360.0
330,320.0
311,440.0
total_travel_time,39690.0
269,330.0
336,300.0
312,420.0
85,290.0
86,290.0
89,290.0
90,290.0
92,300.0
94,300.0
351,210.0
96,280.0
355,170.0
100,230.0
358,160.0
359,160.0
106,220.0
111,440.0
112,440.0
302,460.0
276,310.0
122,420.0
123,400.0
125,400.0
126,400.0
277,300.0
129,400.0
130,410.0
134,400.0
fastest_travel_time,160.0
136,410.0
138,400.0
139,400.0
323,380.0
150,350.0
282,300.0
158,290.0
159,290.0
165,240.0
168,210.0
169,220.0
171,220.0
172,220.0
173,210.0
175,220.0
177,220.0
178,450.0
183,430.0
187,410.0
190,410.0
193,420.0
196,400.0
289,250.0
204,310.0
206,300.0
207,310.0
208,300.0
214,300.0
215,280.0
216,280.0
217,280.0
225,230.0
228,200.0
229,200.0
232,200.0
234,220.0
295,250.0
236,220.0
238,220.0
241,460.0
243,450.0
248,430.0
249,420.0
298,470.0
253,370.0
