id,tt
128,210.0
2,150.0
4,140.0
133,210.0
fastest_travel_time,140.0
137,200.0
266,200.0
142,200.0
143,220.0
145,220.0
281,430.0
155,440.0
28,310.0
157,440.0
52,200.0
288,370.0
290,370.0
36,270.0
296,320.0
297,310.0
299,310.0
301,310.0
305,300.0
180,280.0
181,280.0
184,260.0
185,260.0
314,260.0
59,200.0
191,240.0
65,200.0
194,210.0
309,300.0
198,220.0
332,190.0
76,220.0
162,410.0
total_travel_time,13790.0
335,200.0
337,200.0
210,460.0
334,200.0
87,400.0
218,450.0
222,410.0
17,400.0
104,290.0
235,330.0
240,290.0
116,250.0
247,250.0
