id,tt
132,240.0
5,130.0
341,220.0
fastest_travel_time,130.0
265,210.0
151,200.0
12,410.0
14,410.0
274,470.0
279,460.0
280,460.0
25,340.0
286,420.0
161,410.0
34,310.0
294,350.0
44,220.0
174,300.0
303,300.0
49,220.0
179,260.0
182,250.0
316,240.0
318,230.0
319,220.0
192,220.0
66,190.0
54,200.0
199,200.0
328,200.0
329,200.0
343,220.0
205,200.0
total_travel_time,15270.0
79,200.0
81,430.0
82,430.0
83,440.0
84,450.0
270,230.0
121,270.0
91,450.0
220,410.0
224,360.0
99,370.0
103,350.0
127,250.0
110,320.0
242,260.0
244,270.0
245,250.0
212,200.0
251,210.0
255,210.0
