id,tt
256,450.0
1,170.0
258,460.0
3,180.0
261,450.0
6,220.0
7,230.0
8,230.0
307,420.0
275,640.0
271,430.0
16,220.0
344,250.0
18,210.0
259,450.0
22,200.0
24,200.0
283,580.0
29,180.0
30,210.0
31,210.0
32,210.0
35,450.0
37,440.0
38,440.0
40,420.0
324,330.0
43,420.0
300,510.0
47,410.0
304,430.0
50,400.0
51,410.0
53,390.0
57,390.0
62,400.0
64,400.0
321,340.0
322,330.0
67,360.0
68,360.0
325,320.0
70,370.0
71,360.0
72,360.0
74,360.0
75,350.0
77,360.0
total_travel_time,52720.0
80,360.0
338,260.0
339,250.0
340,250.0
313,400.0
88,330.0
345,250.0
93,560.0
95,560.0
97,520.0
98,510.0
101,500.0
102,470.0
105,460.0
107,450.0
108,450.0
109,450.0
113,450.0
114,450.0
115,440.0
117,440.0
118,450.0
119,440.0
120,440.0
124,450.0
320,360.0
131,430.0
278,620.0
fastest_travel_time,170.0
140,440.0
141,440.0
144,430.0
146,430.0
147,420.0
148,670.0
149,660.0
152,630.0
153,580.0
154,550.0
156,460.0
160,460.0
163,450.0
164,460.0
166,450.0
167,450.0
170,440.0
176,450.0
186,440.0
287,560.0
188,440.0
189,430.0
195,440.0
197,440.0
200,420.0
201,410.0
202,420.0
203,410.0
333,290.0
209,670.0
211,660.0
78,360.0
331,290.0
219,620.0
221,610.0
223,470.0
263,450.0
226,460.0
227,480.0
230,460.0
231,460.0
233,460.0
237,460.0
272,410.0
239,450.0
246,450.0
250,450.0
252,460.0
254,450.0
213,660.0
