id,tt
385,110.0
132,220.0
fastest_travel_time,110.0
265,200.0
151,210.0
270,230.0
274,470.0
110,310.0
279,460.0
280,440.0
25,320.0
286,390.0
161,400.0
34,280.0
294,340.0
44,220.0
174,310.0
303,290.0
49,210.0
179,260.0
54,200.0
244,250.0
316,220.0
318,220.0
319,220.0
192,230.0
66,190.0
182,250.0
199,200.0
328,190.0
329,190.0
205,200.0
total_travel_time,15860.0
79,190.0
81,430.0
82,450.0
83,440.0
84,430.0
341,230.0
343,220.0
91,430.0
220,420.0
350,350.0
224,380.0
99,360.0
212,200.0
103,350.0
360,250.0
365,210.0
366,210.0
255,210.0
242,260.0
383,110.0
372,160.0
245,250.0
251,210.0
121,260.0
379,130.0
380,120.0
382,110.0
127,260.0
