id,tt
132,460.0
fastest_travel_time,380.0
265,410.0
151,410.0
270,460.0
274,940.0
279,920.0
280,900.0
25,660.0
286,810.0
161,810.0
34,590.0
294,690.0
44,440.0
174,610.0
303,590.0
49,430.0
179,520.0
182,500.0
316,460.0
318,450.0
319,440.0
192,450.0
66,380.0
54,400.0
199,400.0
328,390.0
329,390.0
205,400.0
total_travel_time,28420.0
79,390.0
81,860.0
82,880.0
83,880.0
84,880.0
341,450.0
343,440.0
91,880.0
220,830.0
224,740.0
99,730.0
212,400.0
103,700.0
110,630.0
255,420.0
242,520.0
244,520.0
245,500.0
121,530.0
251,420.0
127,510.0
