id,tt
128,200.0
235,320.0
133,200.0
fastest_travel_time,140.0
137,190.0
266,200.0
142,210.0
143,220.0
17,300.0
281,430.0
155,440.0
28,320.0
157,450.0
52,200.0
288,350.0
162,410.0
36,260.0
296,300.0
297,310.0
299,310.0
301,310.0
305,270.0
180,270.0
309,260.0
184,250.0
185,240.0
314,250.0
59,180.0
191,230.0
65,180.0
194,220.0
198,210.0
76,200.0
247,240.0
332,190.0
290,350.0
334,190.0
335,200.0
337,200.0
210,460.0
total_travel_time,13760.0
87,420.0
218,440.0
222,400.0
181,250.0
352,340.0
145,220.0
104,290.0
363,240.0
240,270.0
116,230.0
375,140.0
