id,tt
257,740.0
260,720.0
342,580.0
262,700.0
264,700.0
9,290.0
10,320.0
11,330.0
268,660.0
13,350.0
15,350.0
273,630.0
19,360.0
20,390.0
21,400.0
23,400.0
26,400.0
27,420.0
284,490.0
285,490.0
33,940.0
291,470.0
292,470.0
293,440.0
39,880.0
41,850.0
42,840.0
135,800.0
45,830.0
46,820.0
48,810.0
306,900.0
308,880.0
317,820.0
310,880.0
55,760.0
56,770.0
348,440.0
58,760.0
315,840.0
60,750.0
61,730.0
63,750.0
267,700.0
69,730.0
326,720.0
327,710.0
73,700.0
330,670.0
311,870.0
total_travel_time,77490.0
269,640.0
336,640.0
312,850.0
85,520.0
86,520.0
89,520.0
90,530.0
92,530.0
94,520.0
351,430.0
96,500.0
355,400.0
100,450.0
358,370.0
359,370.0
106,440.0
111,890.0
112,870.0
302,930.0
276,590.0
122,820.0
123,800.0
125,800.0
126,800.0
277,570.0
129,790.0
130,800.0
134,800.0
fastest_travel_time,290.0
136,800.0
138,790.0
139,770.0
323,770.0
150,680.0
282,520.0
158,570.0
159,510.0
165,430.0
168,410.0
169,450.0
171,440.0
172,440.0
173,440.0
175,440.0
177,430.0
178,890.0
183,840.0
187,810.0
190,820.0
193,810.0
196,770.0
289,470.0
204,620.0
206,610.0
207,610.0
208,600.0
214,570.0
215,540.0
216,540.0
217,520.0
225,440.0
228,420.0
229,420.0
232,420.0
234,420.0
295,460.0
236,440.0
238,440.0
241,910.0
243,910.0
248,850.0
249,830.0
298,940.0
253,740.0
