id,tt
257,370.0
260,360.0
342,310.0
262,350.0
264,350.0
9,100.0
10,110.0
11,120.0
268,310.0
13,130.0
15,140.0
273,300.0
19,150.0
20,170.0
21,180.0
23,190.0
26,200.0
27,200.0
284,220.0
285,220.0
33,480.0
291,210.0
292,210.0
293,200.0
39,430.0
41,420.0
42,420.0
135,400.0
45,410.0
46,410.0
48,400.0
306,450.0
308,430.0
317,420.0
310,440.0
55,370.0
56,380.0
348,220.0
58,370.0
315,430.0
60,360.0
61,360.0
63,370.0
267,340.0
69,350.0
326,380.0
327,370.0
73,340.0
330,350.0
311,430.0
total_travel_time,38570.0
269,310.0
336,340.0
312,430.0
85,230.0
86,230.0
89,230.0
90,240.0
92,230.0
94,220.0
351,220.0
96,220.0
355,230.0
100,220.0
358,210.0
359,210.0
106,220.0
111,450.0
112,430.0
370,150.0
302,470.0
374,130.0
376,110.0
276,280.0
122,400.0
123,400.0
125,400.0
126,400.0
277,270.0
129,390.0
130,390.0
134,400.0
fastest_travel_time,100.0
136,390.0
138,390.0
139,370.0
323,390.0
150,330.0
282,220.0
158,280.0
159,220.0
368,160.0
165,190.0
168,200.0
169,230.0
171,220.0
172,220.0
173,230.0
175,220.0
177,210.0
178,440.0
183,410.0
187,400.0
190,410.0
193,390.0
196,370.0
289,220.0
204,310.0
206,310.0
207,300.0
208,300.0
214,270.0
215,260.0
216,260.0
217,240.0
225,210.0
377,110.0
228,220.0
229,220.0
232,220.0
234,200.0
295,210.0
236,220.0
238,220.0
381,110.0
241,450.0
243,460.0
248,420.0
249,410.0
298,470.0
253,370.0
